ID	CP	ストア	出版社	データタイプ	作者	タイトルID	タイトル名	フォーマット	画面サイズ	DL区分	通番	配信許諾名	配信	表示	状態	価格	DL期限	許諾開始日	許諾終了日	配信開始日	配信終了日	登録日時	更新日時
002ep2a3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	福星英春	00007h3h	ハードボイルド園児 宇宙くん	EPUB3.0	汎用	DL	6	6巻	○	○	○	500	無期限	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep2a5	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	福星英春	00007h3h	ハードボイルド園児 宇宙くん	EPUB3.0	汎用	DL	7	7巻	○	○	○	500	無期限	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep2a1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	萱島のぞみ･倉田嘘	0000awo9	バレヱのお時間!!	EPUB3.0	汎用	DL	1	本編	○	○	○	500	無期限	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep29x	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	田口囁一	0000awoa	シアロア	EPUB3.0	汎用	DL	1	1巻	○	○	○	500	無期限	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002ep29z	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	井本仁	00009v1i	Dの十字架	EPUB3.0	汎用	DL	2	2巻	○	○	○	460	無期限	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep2a2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	福星英春	00007h3h	ハードボイルド園児 宇宙くん	EPUB3.0	汎用	サンプル	6	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep2a4	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	福星英春	00007h3h	ハードボイルド園児 宇宙くん	EPUB3.0	汎用	サンプル	7	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep29y	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	井本仁	00009v1i	Dの十字架	EPUB3.0	汎用	サンプル	2	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep2a0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	萱島のぞみ･倉田嘘	0000awo9	バレヱのお時間!!	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/26 06:08:12
002ep29w	Amazon.com, Inc.(国内)	Kindle(国内納品用)	LINE	電子書籍	田口囁一	0000awoa	シアロア	EPUB3.0	汎用	サンプル	1	サンプル	○	○	○	0	1	2018/05/15	2999/12/31	2018/05/15	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyu	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	73	アメリカ’94 ワールドカップ決戦速報号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyw	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	74	フランス’98 ワールドカップ決戦速報号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyy	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	75	1986年5月号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz0	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	76	1987年12月号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz2	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	77	1993年8月15日号	○	○	○	463	無期限	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyv	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	73	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyx	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	74	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsyz	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	75	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz1	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	76	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002epsz3	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	サンプル	77	サンプル	○	○	○	0	1	2018/05/12	2999/12/31	2018/05/12	2999/12/31	2018/05/12 06:08:07	2018/05/12 06:08:07
002eo43s	Amazon.com, Inc.(国内)	Kindle(国内納品用)	日本スポーツ企画出版社	電子書籍	日本スポーツ企画出版社	00009hno	サッカーダイジェスト	EPUB3.0	汎用	DL	72	2018/5/24号	○	○	○	463	無期限	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/10 06:09:00	2018/05/10 06:09:00
002elf4o	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	DL	51	第51号	○	○	○	444	無期限	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/02 06:09:15	2018/05/02 06:09:15
002em32c	Amazon.com, Inc.(国内)	Kindle(国内納品用)	デアゴスティーニ･ジャパン	電子書籍	デアゴスティーニ編集部	000096jr	日本の城 改訂版	EPUB3.0	汎用	サンプル	51	サンプル	○	○	○	0	1	2018/05/10	2999/12/31	2018/05/10	2999/12/31	2018/05/03 06:08:07	2018/05/03 06:08:07
